"id","course_name","created_at","parent_id","description"
"16827f4a-1c3c-4dc9-b8f0-d528f98b0927","Grade 2","2020-12-05T07:17:10.000Z",,"course"
"22875995-d6d3-44a1-a64b-5261f13b9e13","HINDI","2021-02-01T01:17:46.000Z","16827f4a-1c3c-4dc9-b8f0-d528f98b0927","SUB"
"3fd52069-0be6-4692-81fe-e88dc1c63f5b","TAMIL","2021-02-09T03:41:45.000Z","16827f4a-1c3c-4dc9-b8f0-d528f98b0927","SUB"
"5f2ee258-e1cd-4598-865f-320c9eaac162","SCIENCE","2020-12-06T01:04:06.000Z","16827f4a-1c3c-4dc9-b8f0-d528f98b0927","sub"
"67d6d052-0f3f-4db6-97df-2e7f36a09781","MATHEMATICS","2020-12-06T01:03:39.000Z","16827f4a-1c3c-4dc9-b8f0-d528f98b0927","sub"
"6c2d39a0-efed-42bd-bf1d-85e42135c858","URDU","2021-02-01T01:18:19.000Z","16827f4a-1c3c-4dc9-b8f0-d528f98b0927","SUB"
"a99aef59-62e7-490d-b8a3-48829265b3f6","SOCIAL SCIENCE","2020-12-06T01:04:59.000Z","16827f4a-1c3c-4dc9-b8f0-d528f98b0927","sub"
"b66b03d6-dd1a-4a50-871f-5cf32c5f4792","KANNADA","2021-08-19T02:27:58.000Z","16827f4a-1c3c-4dc9-b8f0-d528f98b0927","SUBJECT"
"ce924c37-a47c-425e-9682-e0f47432ade8","COMPUTER SCIENCE","2021-08-10T04:15:03.000Z","16827f4a-1c3c-4dc9-b8f0-d528f98b0927","SUB"
"fd110225-eb03-4ea0-9fdc-92d413ebe880","ENGLISH","2020-12-06T01:05:19.000Z","16827f4a-1c3c-4dc9-b8f0-d528f98b0927","sub"
"0652c0b0-8a2c-4a1e-8558-acb5d9f388ac","CH-Means of Transport","2020-12-19T01:54:13.000Z","5f2ee258-e1cd-4598-865f-320c9eaac162","CHAPTER"
"230485d1-598e-42e4-9079-4ffdc88e83ac","CH-Understanding directions","2020-12-19T01:32:00.000Z","5f2ee258-e1cd-4598-865f-320c9eaac162","CHAPTER"
"37577f51-55df-4f72-be5d-18dad1cb69a9","CH-Air water food shelter","2020-12-19T01:33:27.000Z","5f2ee258-e1cd-4598-865f-320c9eaac162","CHAPTER"
"50f9a6d9-f671-4ce2-828f-b78efd3e28fc","CH-Time","2020-12-19T01:36:28.000Z","5f2ee258-e1cd-4598-865f-320c9eaac162","CHAPTER"
"63c2f261-a95d-43a7-825a-38a091f08101","CH-Get to know me","2020-12-19T01:39:52.000Z","5f2ee258-e1cd-4598-865f-320c9eaac162","CHAPTER"
"a48eb14f-d641-4437-8eea-7fde0d2b42c8","CH-Our Family","2020-12-19T01:27:12.000Z","5f2ee258-e1cd-4598-865f-320c9eaac162","CHAPTER"
"b90c63ab-f425-4be8-a73b-95e06cf0b567","CH-Services in neighborhood","2020-12-19T01:28:15.000Z","5f2ee258-e1cd-4598-865f-320c9eaac162","CHAPTER"
"bf14eafc-8df6-4234-9d6b-2c6a7b2479c6","CH-Clothes","2020-12-19T01:35:10.000Z","5f2ee258-e1cd-4598-865f-320c9eaac162","CHAPTER"
"d82174bf-1746-45d3-94d7-934dd0f5a46c","CH-Invention of the wheel","2020-12-19T01:51:48.000Z","5f2ee258-e1cd-4598-865f-320c9eaac162","CHAPTER"
"e70f99fe-e4ee-4569-966a-cb3d58853538","CH-Good habits","2020-12-19T01:24:24.000Z","5f2ee258-e1cd-4598-865f-320c9eaac162","CHAPTER"
"e9e7ef77-1a10-4fb2-a686-d721b0af46ae","CH-Houses","2020-12-19T01:43:38.000Z","5f2ee258-e1cd-4598-865f-320c9eaac162","CHAPTER"
"0f5b653f-f409-4aab-9986-8519ad1eda01","Means of Transport ","2020-12-19T01:54:36.000Z","0652c0b0-8a2c-4a1e-8558-acb5d9f388ac","TOPIC"
