"id","course_name","created_at","parent_id","description"
"dc9f9fc9-9db2-418b-9109-b523fa60de52","Grade 8","2020-12-05T07:14:26.000Z",,"course"
"1cecbda5-7f29-4720-aa79-1b3661eb9ddb","KANNADA","2021-08-19T02:29:59.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","SUBJECT"
"24384460-c0a4-46fd-8b13-30e54a2939fe","CH14 - Factorisations","2020-12-09T23:43:22.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","Chapter"
"25ca34a3-1e9d-49d5-85ac-7c9eed7cb43e","URDU","2021-02-01T01:33:10.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","SUB"
"36a4a0b2-b964-4144-8353-fe6ca0179b95","ENGLISH","2020-12-06T01:52:33.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","sub"
"552cae0b-3b2d-44ad-908a-374c38e53b89","CH4 - Practical geometry","2020-12-09T22:46:54.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","Chapter"
"71af3991-f221-4efc-9cc2-a0e8e9dabd66","BIOLOGY","2021-08-16T04:55:52.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","CHAPTER"
"8b268ef9-fdbd-4b82-8702-f09e744ec56d","MATHEMATICS","2020-12-06T00:59:57.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","sub"
"97a7988c-d3de-41bb-ae49-0e9e25ae91e8","CHENISTRY","2021-08-16T04:54:41.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","CHAPTER"
"ad381fbe-694e-4f7a-9f4b-e61769453a63","SCIENCE","2020-12-06T01:51:55.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","sub"
"ba8dcd5d-4bac-44b0-9207-c4538a017dc6","COMPUTER SCIENCE","2021-08-10T04:17:12.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","SUB"
"be0199c5-b346-4007-9cab-e260f816ff5b","SOCIAL SCIENCE","2020-12-06T01:52:15.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","sub"
"e347ec66-25d7-4c08-b28d-31fd970e9388","HINDI","2020-12-06T01:53:11.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","sub"
"f6b3bff7-72fa-4929-aa6e-24bd5688cec9","TAMIL","2020-12-06T01:52:52.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","sub"
"fa53fcf0-e4bc-4d3b-9a8b-ca4f289e35c3","PHYSICS","2021-08-16T04:52:54.000Z","dc9f9fc9-9db2-418b-9109-b523fa60de52","CHAPTER"
"06526642-1ec2-4f59-88ff-73d64318f3e5","CH2 - Linear equations in one variable","2020-12-09T22:43:57.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"06caf861-35f1-4062-9f57-916a7e0418f5","CH14 - Factorisations","2020-12-09T23:44:03.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"43f12d6c-f55d-4d0d-b02d-a3bf09dc97e2","CH4 - Practical geometry","2020-12-09T22:48:01.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"53927ed1-1de6-4e6f-ac18-69c2c1c1a0e3","CH16 -  Playing with numbers","2020-12-09T23:48:56.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"6ad6369d-728c-430a-8a87-228650906c1d","CH12 - Exponents and powers","2020-12-09T23:40:17.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"6e81ac6a-de25-464d-9992-3fd53fbdd264","CH9 - Algebraic expressions and identities","2020-12-09T23:21:31.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"7049eb1a-7d72-4f9f-88be-3b2d49455de4","CH6 - Square and Square roots","2020-12-09T23:02:24.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"a6a0b3b2-67d4-40f6-86ce-37dc95888545","CH7 - Cube and cube root","2020-12-09T23:06:12.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"b30a412c-2df5-43c0-8cd5-01fd8b5e713b","CH1 - Rational numbers","2020-12-09T22:42:37.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"badc6369-923c-484c-af88-3996e1dcbcf7","CH15  - Introduction to Graphs","2020-12-09T23:46:24.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"bc73eadb-8794-4495-9035-507bef1ea392","CH5 - Data Handling","2020-12-09T22:49:56.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"c0ad8d67-74d8-4f22-9a11-231dc8b5ee1b","CH8 - Comparing quantities","2020-12-09T23:08:19.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"cb4d8420-a694-4a6e-8d0c-4e0fa71321fe","CH11 - Mensuration","2020-12-09T23:38:29.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"df44a6ce-76dc-49a1-ba75-b4e7481349b5","CH10 - Visualising Solid Shapes","2020-12-09T23:23:01.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"f518849f-3041-47e0-9822-97352af39d79","CH13 - Direct and inverse proportions","2020-12-09T23:41:27.000Z","8b268ef9-fdbd-4b82-8702-f09e744ec56d","Chapter"
"0b413b86-40c5-40e9-a9ae-070d5bd0a371","Linear equations in one variable","2020-12-09T22:44:33.000Z","06526642-1ec2-4f59-88ff-73d64318f3e5","Topic"
"fe29e34b-f4ad-4feb-9081-b81c58caec8f","Factorisations","2020-12-09T23:45:00.000Z","06caf861-35f1-4062-9f57-916a7e0418f5","Topic"
"9445f3b1-f9b2-4371-bf1d-49d1711172bb","Practical geometry","2020-12-09T22:49:20.000Z","43f12d6c-f55d-4d0d-b02d-a3bf09dc97e2","Topic"
"8ada5306-5f28-4993-bc74-5c01de8b4cdd","Playing with numbers","2020-12-09T23:49:22.000Z","53927ed1-1de6-4e6f-ac18-69c2c1c1a0e3","Topic"
"1e9890a2-14c7-4434-a543-b5870e6f30ff","Exponents and powers","2020-12-09T23:42:05.000Z","6ad6369d-728c-430a-8a87-228650906c1d","Topic"
"79369fe9-506d-45d5-afdd-902161ff2407","Algebraic expressions and identities","2020-12-09T23:22:09.000Z","6e81ac6a-de25-464d-9992-3fd53fbdd264","Topic"
"4b193cfc-d895-445c-bbce-364222844361","Square and Square roots","2020-12-09T23:02:56.000Z","7049eb1a-7d72-4f9f-88be-3b2d49455de4","Topic"
"708bc6b8-eb96-44c1-9dbd-bd52cdea3b2f","Cube and cube root","2020-12-09T23:07:18.000Z","a6a0b3b2-67d4-40f6-86ce-37dc95888545","Topic"
"3e072e76-fa60-4657-8aea-0a3f1ae63c8e","Rational numbers","2020-12-09T22:43:07.000Z","b30a412c-2df5-43c0-8cd5-01fd8b5e713b","Topic"
"c23cacdb-e747-4a8f-b384-860f8d5f9cb6","Introduction to Graphs","2020-12-09T23:47:30.000Z","badc6369-923c-484c-af88-3996e1dcbcf7","Topic"
"f97cf8e5-2759-4e6f-8d1c-753425412367","Data Handling","2020-12-09T22:50:34.000Z","bc73eadb-8794-4495-9035-507bef1ea392","Topic"
"873b44fa-fe5a-42a3-bf32-92b05dcc915a","Comparing quantities","2020-12-09T23:09:10.000Z","c0ad8d67-74d8-4f22-9a11-231dc8b5ee1b","Topic"
"ee53a89b-0c26-49b8-bac2-be24554f47b6","Mensuration","2020-12-09T23:39:04.000Z","cb4d8420-a694-4a6e-8d0c-4e0fa71321fe"," Topic"
"af8665b6-23ce-4a10-ac01-28bb0a185cbd","Understanding shapes","2020-12-09T23:23:34.000Z","df44a6ce-76dc-49a1-ba75-b4e7481349b5"," Topic"
"e38c6ac0-9d27-4a98-95ca-9dbae411313a","Visualising solid shapes","2020-12-09T23:24:46.000Z","df44a6ce-76dc-49a1-ba75-b4e7481349b5","Topic"
